"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","GET /products/category/electronics — фильтр по категории","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","2677","Раскрытие дерева и выбор узла Home отмечает все вложенные пункты","tests.ui","2026-06-30","passed","2026-06-30","","test_check_box","",""
"","48","GET /products?sort=asc — порядок по id возрастанием","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","50","GET /products?sort=desc — порядок по id убыванием","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","3013","Заполнение формы Text Box отображает введённые данные в выводе","tests.ui","2026-06-30","passed","2026-06-30","","test_text_box","",""
"","2817","Double click и right click показывают соответствующие сообщения","tests.ui","2026-06-30","passed","2026-06-30","","test_buttons","",""
"","51","GET /products?limit=N — ограничение количества","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","47","GET /products/category/women's clothing — фильтр по категории","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","47","GET /products?limit=N — ограничение количества","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","148","GET /products/{id} — несуществующий id: 200 с пустым телом (мок)","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","45","POST /products — создание возвращает id (201/200)","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","45","Валидация типов полей товара","tests.api","2026-06-30","broken","2026-06-30","","test_products","",""
"","45","DELETE /products/{id} — удаление","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","45","GET /products/category/jewelery — фильтр по категории","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","144","GET /products — 200 и непустой список","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","42","GET /products?limit=N — ограничение количества","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","44","PATCH /products/{id} — частичное обновление","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","50","PUT /products/{id} — обновление","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","1996","Добавление новой записи отображает её в таблице","tests.ui","2026-06-30","passed","2026-06-30","","test_web_tables","",""
"","47","GET /products/{id} — структура ответа для валидного id","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","47","GET /products/categories — список категорий","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","3608","Заполнение и отправка формы показывает модалку с результатом","tests.ui","2026-06-30","passed","2026-06-30","","test_practice_form","",""
"","132","GET /products/{id} — несуществующий id: 200 с пустым телом (мок)","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","48","GET /products/category/men's clothing — фильтр по категории","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
"","49","GET /products/{id} — несуществующий id: 200 с пустым телом (мок)","tests.api","2026-06-30","failed","2026-06-30","","test_products","",""
